FD,FDH,PH,JJS,JCX,JYJ,JYC,JYK,HQSX,SJC,HXC,SHS,HYC,MC,,,,
69,32,77,55,0.43,67,19.3,0.9,0,2.8,19.2,26,0.32,4.8,,,,
63,26,68,45,0.53,63,20.3,1,0,3.3,18.3,39,0.33,5.8,,,,
89,52,47,30,0.47,47,16.5,0.6,0,0,11.5,22,0.41,4.3,,,,
86,49,91,50,0.5,70,26.7,0.9,23,1,26,60,0.25,2.8,,,,
83,46,84,55,0.57,78,20,0.9,23,7.7,20.3,41,0.3,3.3,,,,
83,46,66,65,0.53,63,21.2,1,18,1.7,20,48,0.24,4.8,,,,
65,28,62,60,0.47,47,18.7,0.7,0,0,13.3,29,0.3,0.2,,,,
104,67,75,50,0.47,75,15.7,0.9,18,7,19.7,31,0.31,5.3,,,,
81,44,73,40,0.6,57,26.2,1.1,30,6.5,24,59,0.28,5.3,,,,
65,28,79,45,0.47,83,19.7,1,0,3.3,21.3,37,0.31,5.2,,,,
66,29,73,50,0.43,50,20.8,0.9,0,5.3,20.2,47,0.25,5,,,,
109,72,100,30,0.47,53,29.2,0.9,0,7,21.8,30,0.35,3.2,,,,
64,27,66,45,0.5,38,19,1.2,22,3.3,16.7,32,0.3,5.2,,,,
66,29,77,30,0.53,65,18.3,0.9,0,7.3,18.8,27,0.31,4.7,,,,
70,33,73,40,0.5,62,18.3,0,20,2.3,17.7,29,0.28,5.2,,,,
67,30,71,55,0.5,78,20.7,0.8,0,1.8,18.3,29,0.3,6.2,,,,
66,29,89,45,0.53,57,24.7,1.1,0,0,22.3,29,0.31,5.2,,,,
74,37,89,50,0.53,57,28.5,0.9,27,4,17.8,32,0.25,6,,,,
64,27,85,55,0.57,67,29.3,1,23,3.2,19.8,33,0.31,3.5,,,,
72,35,79,30,0.5,50,22.7,1.2,0,4,19.7,40,0.3,4.8,,,,
64,27,92,40,0.5,63,23.8,1,0,7.2,21,37,0.3,5.7,,,,
67,30,92,50,0.53,82,21,1,0,7.7,18.7,29,0.29,0.5,,,,
83,46,65,40,0.43,27,12.8,0.7,0,4.7,17.7,32,0.31,5.7,,,,
69,32,83,80,0.5,82,23.2,1,0,3,23.3,40,0.31,5.3,,,,
64,27,63,40,0.5,75,17.3,0.9,0,2.7,15.7,43,0.29,4,,,,
63,26,62,40,0.53,57,16.5,0.9,0,6.7,16,31,0.3,2.5,,,,
61,24,82,55,0.5,75,18.5,0.8,0,4.3,21.5,42,0.32,4.8,,,,
63,26,84,40,0.5,68,20.7,1,37,6.7,17.5,37,0.31,4.8,,,,
63,26,71,50,0.47,80,18.7,0.8,37,5.5,19.2,52,0.29,4.7,,,,
87,50,76,35,0.47,78,20,0.9,0,4.7,19,29,0.3,4.7,,,,
80,43,90,40,0.53,60,21.3,0.8,7,6.3,19.3,21,0.31,4,,,,
107,70,79,50,0.43,65,23.8,1,22,6,18.8,55,0.3,4.5,,,,
79,42,65,45,0.5,40,20.2,1,40,3.5,21.2,48,0.34,4.7,,,,
73,36,93,40,0.5,50,25.5,1.1,32,6,25.5,72,0.28,5,,,,
63,26,88,55,0.5,65,21.8,0.9,20,4.3,21.3,46,0.3,5.7,,,,
65,28,75,60,0.5,43,18.5,1,32,6.5,18.7,44,0.3,5.3,,,,
76,39,77,50,0.53,58,30.7,1.1,32,5.8,22.5,49,0.34,5.7,,,,
81,44,70,45,0.53,33,22.2,0.7,17,3.5,22.8,58,0.28,5.5,,,,
63,26,71,35,0.5,63,18.5,0.8,0,3.3,19.5,39,0.34,4.5,,,,
64,27,75,55,0.5,62,19,0.9,23,6.3,20.7,34,0.3,5.7,,,,
63,26,59,40,0.5,42,20.8,0.9,0,4.2,18,43,0.25,5.8,,,,
63,26,86,50,0.6,75,24,0.9,0,6.5,23.3,44,0.31,4.7,,,,
64,27,84,50,0.5,70,19.3,0.9,22,6.3,24.5,56,0.32,6.5,,,,
63,26,90,40,0.47,68,23.2,1.1,22,4.5,24,68,0.3,7.3,,,,
64,27,82,45,0.43,52,19.2,1,0,8.2,17.3,43,0.3,2,,,,
63,26,91,50,0.47,72,19.2,0.8,0,3.5,19.3,35,0.25,5,,,,
63,26,75,60,0.47,55,22.8,1.1,40,7.5,19.3,54,0.28,4.3,,,,
71,34,83,35,0.4,65,23.3,1,0,8,22.3,50,0.3,6.8,,,,
103,66,78,30,0.43,47,15,0.7,35,4,19.7,50,0.29,2.7,,,,
72,35,75,45,0.4,47,24.3,1.1,0,2.3,19.5,54,0.23,4.7,,,,
72,35,84,35,0.5,33,18.3,0.8,23,6.2,16.3,33,0.31,4.2,,,,
73,36,84,25,0.5,38,23.2,1.1,0,4.3,20.3,40,0.3,4,,,,
85,48,69,45,0.4,27,21,0.8,0,3.3,19.2,25,0.3,6.3,,,,
78,41,70,40,0.47,37,10.8,0.7,0,2.7,19.7,39,0.28,4.3,,,,
83,46,85,45,0.43,45,23.7,1.1,0,7.3,21.3,35,0.34,5.7,,,,
82,45,88,45,0.53,77,22.8,1,33,7.5,22.5,53,0.3,5.2,,,,
79,42,79,50,0.4,43,21.7,0.8,0,4.2,21.2,33,0.33,7.2,,,,
79,42,73,40,0.5,77,22,0.9,0,3,18.7,51,0.24,5.7,,,,
74,37,70,35,0.4,38,17.7,0.8,0,0.5,22.8,36,0.32,4.2,,,,
78,41,88,45,0.53,65,20.2,1,25,5.7,19.5,49,0.31,0.7,,,,
91,54,76,35,0.47,47,18.5,0.9,0,1.8,19.3,36,0.27,4,,,,
85,48,79,45,0.47,45,20.7,0.9,22,5.3,21,36,0.31,6.5,,,,
64,27,88,35,0.5,62,18.8,1,27,4.7,20.8,52,0.35,4.3,,,,
63,26,72,40,0.37,67,18.3,0.9,27,3,21.3,35,0.33,6.2,,,,
65,28,79,40,0.47,48,29.2,0.9,10,4.8,22.5,45,0.3,5.7,,,,
75,38,82,45,0.43,48,18.5,0.9,28,8.3,22.8,41,0.31,5.8,,,,
63,26,71,35,0.4,33,20,1.1,0,0,19.2,44,0.25,4.3,,,,
70,33,86,50,0.43,42,19,0.9,27,8,21,48,0.28,5.2,,,,
62,25,95,20,0.43,50,19.8,0.9,0,3,19.2,42,0.3,3.7,,,,
65,28,89,40,0.47,67,30.2,1.2,27,5.3,24.2,75,0.31,6.3,,,,
68,31,91,45,0.47,58,19.3,0.9,0,4.7,17.7,26,0.31,4.2,,,,
76,39,74,15,0.37,20,18.7,0.8,0,3.8,15.8,19,0.25,3.8,,,,
84,47,117,45,0.43,23,23.8,1,23,11.5,22.5,41,0.38,5.5,,,,
64,27,75,45,0.5,77,21.5,1.2,25,6.8,20.8,63,0.3,6.3,,,,
72,35,94,35,0.53,55,19,1,40,7.8,20.8,52,0.3,3.8,,,,
63,26,95,40,0.4,60,23,1.1,27,7.2,23.2,44,0.33,7.2,,,,
79,42,79,55,0.3,40,14.8,0.7,0,5.5,17,21,0.31,5.2,,,,
72,35,81,55,0.5,47,26.8,1.1,23,6.2,22.8,60,0.31,6.7,,,,
70,33,75,45,0.5,52,16.2,0.8,0,3,20.3,27,0.3,4.8,,,,
65,28,69,20,0.43,33,15,0.8,0,0,15.2,18,0.28,1.8,,,,
75,38,84,40,0.53,48,22.8,1.1,30,8.3,22,44,0.3,6.5,,,,
89,52,86,45,0.47,78,22.3,1,30,5.3,22.2,48,0.3,7,,,,
71,34,73,40,0.5,47,18,0.7,30,0.7,17,29,0.3,4.7,,,,
74,37,92,35,0.43,68,23.7,0.8,23,5.7,21.3,34,0.28,5.8,,,,
70,33,87,50,0.37,47,14.2,0.8,0,8.3,18.3,31,0.35,3.7,,,,
72,35,65,50,0.37,43,11.2,0.9,0,2.5,16.2,18,0.3,4.7,,,,
63,26,85,35,0.47,70,17.2,0.7,0,5.5,16.2,41,0.35,4.5,,,,
62,25,78,40,0.43,67,19.5,0.8,0,2.2,18.8,27,0.3,7.2,,,,
